baseToken
ETH
 LTC
 BNB
 NEO
 QTUM
 EOS
 SNT
 BNT
 BCC
 GAS
 BNB.1
 BTC
 ETH
 HSR
 OAX
 DNT
 MCO
 ICN
 MCO.1
 WTC
 WTC.1
 LRC
 LRC.1
 QTUM.1
 YOYOW
 OMG
 OMG.1
 ZRX
 ZRX.1
 STRAT
 STRAT.1
 SNGLS
 SNGLS.1
 BQX
 BQX.1
 KNC
 KNC.1
 FUN
 FUN.1
 SNM
 SNM.1
 NEO.1
 IOTA
 IOTA.1
 LINK
 LINK.1
 XVG
 XVG.1
 SALT
 SALT.1
 MDA
 MDA.1
 MTL
 MTL.1
 SUB
 SUB.1
 EOS.1
 SNT.1
 ETC
 ETC.1
 MTH
 MTH.1
 ENG
 ENG.1
 DNT.1
 ZEC
 ZEC.1
 BNT.1
 AST
 AST.1
 DASH
 DASH.1
 OAX.1
 ICN.1
 BTG
 BTG.1
 EVX
 EVX.1
 REQ
 REQ.1
 VIB
 VIB.1
 HSR.1
 TRX
 TRX.1
 POWR
 POWR.1
 ARK
 ARK.1
 YOYOW.1
 XRP
 XRP.1
 MOD
 MOD.1
 ENJ
 ENJ.1
 STORJ
 STORJ.1
 BNB.2
 VEN
 YOYOW.2
 POWR.2
 VEN.1
 VEN.2
 KMD
 KMD.1
 NULS
 RCN
 RCN.1
 RCN.2
 NULS.1
 NULS.2
 RDN
 RDN.1
 RDN.2
 XMR
 XMR.1
 DLT
 WTC.2
 DLT.1
 DLT.2
 AMB
 AMB.1
 AMB.2
 BCC.1
 BCC.2
 BCC.3
 BAT
 BAT.1
 BAT.2
 BCPT
 BCPT.1
 BCPT.2
 ARN
 ARN.1
 GVT
 GVT.1
 CDT
 CDT.1
 GXS
 GXS.1
 NEO.2
 NEO.3
 POE
 POE.1
 QSP
 QSP.1
 QSP.2
 BTS
 BTS.1
 BTS.2
 XZC
 XZC.1
 XZC.2
 LSK
 LSK.1
 LSK.2
 TNT
 TNT.1
 FUEL
 FUEL.1
 MANA
 MANA.1
 BCD
 BCD.1
 DGD
 DGD.1
 IOTA.2
 ADX
 ADX.1
 ADX.2
 ADA
 ADA.1
 PPT
 PPT.1
 CMT
 CMT.1
 CMT.2
 XLM
 XLM.1
 XLM.2
 CND
 CND.1
 CND.2
 LEND
 LEND.1
 WABI
 WABI.1
 WABI.2
 LTC.1
 LTC.2
 LTC.3
 TNB
 TNB.1
 WAVES
 WAVES.1
 WAVES.2
 GTO
 GTO.1
 GTO.2
 ICX
 ICX.1
 ICX.2
 OST
 OST.1
 OST.2
 ELF
 ELF.1
 AION
 AION.1
 AION.2
 NEBL
 NEBL.1
 BRD
 BRD.1
 BRD.2
 MCO.2
 EDO
 EDO.1
 WINGS
 WINGS.1
 NAV
 NAV.1
 NAV.2
 LUN
 LUN.1
 TRIG
 TRIG.1
 TRIG.2
 APPC
 APPC.1
 APPC.2
 VIBE
 VIBE.1
 RLC
 RLC.1
 RLC.2
 INS
 INS.1
 PIVX
 PIVX.1
 IOST
 IOST.1
 CHAT
