,chainId,dexId,baseToken,baseTokenAddress,quoteToken,quoteTokenAddress,pairAddress,liquidity,priceNative,priceUsd
42,arbitrum,kyberswap,WETH,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,USDC,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,0x26333Db71B82e2DF33d1C11158470B73E3d27072,"{""usd"":431811.81057,""base"":130.79,""quote"":215906}",1627.3686,1627.36
43,bsc,pancakeswap,LENDA,0x2D7A47908d817dd359f9aBA7FEaA89c92a289c7E,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x52711F2cd4337f90dFd9178558b887f930CfE8F7,"{""usd"":268935.964832508,""base"":132113446,""quote"":525.1}",3.535e-06,0.00115
44,avalanche,traderjoe,WAVAX,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,USDC,0xB97EF9Ef8734C71904D8002F8b6Bc66Dd9c48a6E,0xB5352A39C11a81FE6748993D586EC448A01f08b5,"{""usd"":2162653,""base"":167527,""quote"":232515}",20.0383,20.03
45,bsc,pancakeswap,NU,0x842e2CE2c91F63bee12Df231E84e89C41C15778a,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x2024F199012a3FB603e4DB4180aE62d3C4A48046,"{""usd"":252819.9189060539,""base"":12823058,""quote"":493.63}",1.565e-05,0.004285
46,bsc,pancakeswap,STA,0x4D1E90aB966ae26c778b2f9f365aA40abB13f53C,USDT,0x55d398326f99059fF775485246999027B3197955,0x47830B76Ed49041f10B3c983Bc6916688d81C195,"{""usd"":3392403.196491005,""base"":1418998,""quote"":1696202}",1.9446,1.94
47,polygon,uniswap,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDT,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,0xDaC8A8E6DBf8c690ec6815e0fF03491B2770255D,"{""usd"":2548436,""base"":993642,""quote"":1554339}",0.9999,0.9999
48,bsc,pancakeswap,VINU,0xfEbe8C1eD424DbF688551D4E2267e7A53698F0aa,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0xdd9114597217125d60f67Ebf099F0E9570954F46,"{""usd"":68580.4558511539,""base"":3072001714540,""quote"":133.87}",5.441e-11,1.77e-08
49,bsc,pancakeswap,JET V2,0x065e847C36498e105Fbf32587b5Aa4fAFB0e008e,BUSD,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0x58F080ec4402fFb459d5d8362f4a3B2a7080cD53,"{""usd"":575781.7114369794,""base"":1388.26,""quote"":287891}",76.7309,76.73
50,fantom,equalizer,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,USDC,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0x7547d05dFf1DA6B4A2eBB3f0833aFE3C62ABD9a1,"{""usd"":3656799.6068,""base"":8432697,""quote"":1828400}",0.5608,0.5608
51,ethereum,uniswap,SHIBO,0x38e3b07D607dEF629b4f3f46a0082006fdd6CDa2,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x6b453412bDEAEb80396EaeD6d0BaF8c95F523102,"{""usd"":50462,""base"":50400981612799,""quote"":20.2}",2.265e-14,3.68e-11
52,optimism,uniswap,vBTC,0x86f1e0420c26a858fc203A3645dD1A36868F18e5,vUSD,0xC84Da6c8ec7A57cD10B939E79eaF9d2D17834E04,0xC64f9436f8Ca50CDCC096105C62DaD52FAEb1f2e,"{""usd"":3100843,""base"":84.55,""quote"":1676307}",22843.9198,22843.91
53,bsc,pancakeswap,TIME,0x26619FA1d4c957C58096bBbeCa6588dCFB12E109,TIME2,0x734d9244622FFc86B071Dad9A53C40C912f7A250,0xb13Dcd8BB9D509674440BAcD597E8F3365729428,"{""usd"":1894911.0484268668,""base"":22232964,""quote"":1864724}",14.6658,0.06208
54,bsc,pancakeswap,NITRO,0x8a1cB5289eE4C5A0F0D9Dc83225619B11d24E031,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x2Fb71d0857520b969d694f0Ad38cFFFD32fEb795,"{""usd"":68114.70789538838,""base"":19068405,""quote"":132.21}",1.78e-06,0.0005733
55,arbitrum,sushiswap,MAGIC,0x539bdE0d7Dbd336b79148AA742883198BBF60342,WETH,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0xB7E50106A5bd3Cf21AF210A755F9C8740890A8c9,"{""usd"":9848886.55827952,""base"":10173630,""quote"":3954.12}",0.001182,1.92
56,polygon,quickswap,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WMATIC,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0x479e1B71A702a595e19b6d5932CD5c863ab57ee0,"{""usd"":4110875.6477007563,""base"":699.72,""quote"":2652089}",1357.3848,1628.04
57,bsc,pancakeswap,BTCB,0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x61EB789d75A95CAa3fF50ed7E47b96c132fEc082,"{""usd"":49690197.76681817,""base"":1479.81,""quote"":97020}",70.6133,22979.47
58,polygon,uniswap,TXAG,0x57fCbd6503C8BE3B1AbAD191Bc7799ef414A5b31,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0x6Cd22380745D4E4A5B674f692A1E84281e5e0896,"{""usd"":147414,""base"":182979,""quote"":8145.89}",0.7421,0.7421
59,bsc,pancakeswap,FOTA,0x0A4E1BdFA75292A98C15870AeF24bd94BFFe0Bd4,USDT,0x55d398326f99059fF775485246999027B3197955,0xD9AbAD6E7A4DF8f2CEF972202197764619f1154b,"{""usd"":102004.9488552433,""base"":2784100,""quote"":51002}",0.02884,0.02884
60,aptos,aux,APT,0x1::aptos_coin::AptosCoin,USDC,0x5e156f1207d0ebfa19a9eeff00d62a282278fb8719f4fab3a586a0a2c0fffbea::coin::T,aux-0x1-aptos_coin-aptoscoin-0x5e156f1207d0ebfa19a9eeff00d62a282278fb8719f4fab3a586a0a2c0fffbea-coin-t,"{""usd"":4391675,""base"":597892,""quote"":2195838}",14.9752,14.97
61,bsc,pancakeswap,ETX,0x7D5b6F2E31B1e50e6a45130f4AdBB8839FAdeb2E,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0xCf0B284C613643C42Ec0d220af76DBac9238b09B,"{""usd"":175872.097943776,""base"":51679011,""quote"":343.39}",1.213e-07,3.986e-05
62,bsc,pancakeswap,DOGE,0xbA2aE424d960c26247Dd6c32edC70B295c744C43,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0xac109C8025F272414fd9e2faA805a583708A017f,"{""usd"":2254067.8507755147,""base"":15928105,""quote"":4400.98}",0.0002812,0.09151
63,ethereum,uniswap,ETH2x-FLI,0xAa6E8127831c9DE45ae56bB1b0d4D4Da6e5665BD,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x151CcB92bc1eD5c6D0F9Adb5ceC4763cEb66AC7f,"{""usd"":1653955,""base"":207332,""quote"":282.3}",0.006229,10.16
64,ethereum,uniswap,DBNB,0x833850BE8858722Cfc5E5e75f2Fe6275E055d888,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x1e969A1B1983E383Aa3A261f7dA055E1b403Bbcd,"{""usd"":163110,""base"":81259440,""quote"":65.08}",5.554e-07,0.0009058
65,ethereum,uniswap,ALICE,0xAC51066d7bEC65Dc4589368da368b212745d63E8,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x30Bc873193466dC59Fc08159460c49F26F609795,"{""usd"":114669,""base"":51723,""quote"":45.79}",0.001092,1.76
66,ethereum,uniswap,$EARN,0xA87Ed75C257f1ec38393bEA0A83d55Ac2279D79c,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x3139a2B67C9CEFeC04f897c873d51495a1fEe07c,"{""usd"":65884,""base"":10018897966,""quote"":26.28}",2.031e-09,3.293e-06
67,ethereum,uniswap,IOTX,0x6fB3e0A217407EFFf7Ca062D46c26E5d60a14d69,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x489cEbE6Cd5DC5dcB7047A1F0D4F358a5d2fB295,"{""usd"":587521,""base"":13254435,""quote"":213.9}",2.062e-05,0.03351
68,ethereum,uniswap,HEART,0x8FAc8031e079F409135766C7d5De29cf22EF897C,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x540b9658044aCb24A7f32341C6564818176b0F1E,"{""usd"":61484,""base"":6032901,""quote"":24.61}",1.593e-05,0.02588
69,ethereum,shibaswap,MBET,0x37c4822DFcEa7211d1D9876dABd48c62D46dbAAb,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x745Dc578C96c70578c9F7c9D3BA77E286DfBcDd9,"{""usd"":288872,""base"":26341466,""quote"":115.6}",5.361e-06,0.00876
70,ethereum,shibaswap,SHIB,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x9379F5e035CF6148c6bbEE1D6415795cc773b0A4,"{""usd"":110473,""base"":6660660357,""quote"":55237}",1.448e-05,1.448e-05
71,ethereum,sushiswap,IQ,0x579CEa1889991f68aCc35Ff5c3dd0621fF29b0C9,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x9D45081706102E7aadDD0973268457527722E274,"{""usd"":486296,""base"":56042005,""quote"":194.2}",4.013e-06,0.00652
72,ethereum,uniswap,RSR,0x320623b8E4fF03373931769A31Fc52A4E78B5d70,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xA3a9a863Ed908aa95cB17e1781Aa97E6693bF604,"{""usd"":100873,""base"":28214143,""quote"":11.74}",2.491e-06,0.004042
73,ethereum,sushiswap,APE,0x4d224452801ACEd8B2F0aebE155379bb5D594381,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xB27C7b131Cf4915BeC6c4Bc1ce2F33f9EE434b9f,"{""usd"":128164,""base"":16214,""quote"":64082}",5.6738,5.67
74,ethereum,uniswap,UBT,0x8400D94A5cb0fa0D041a3788e395285d61c9ee5e,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xB27dE0bA2abFbFdf15667a939f041b52118aF5Ba,"{""usd"":165060,""base"":527523,""quote"":65.86}",0.0001114,0.1809
75,ethereum,uniswap,NTX,0xF0d33BeDa4d734C72684b5f9abBEbf715D0a7935,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xB3D994978D2Bc50d2ce74c45FcD923E7C9c06730,"{""usd"":135780,""base"":7188312,""quote"":54.34}",3.678e-05,0.05975
76,ethereum,uniswap,BAT,0x0D8775F648430679A709E98d2b0Cb6250d2887EF,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xB6909B960DbbE7392D405429eB2b3649752b4838,"{""usd"":100034,""base"":288348,""quote"":40.03}",0.0001782,0.2895
77,ethereum,uniswap,CQT,0xD417144312DbF50465b1C641d016962017Ef6240,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xC1409A2c5673299fB15Da5f03c27EB1aC88f7D8C,"{""usd"":66905,""base"":408541,""quote"":18.99}",0.0001094,0.1778
78,ethereum,uniswap,AVT,0x0d88eD6E74bbFD96B831231638b66C05571e824F,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xCDff6ddfC9e4807C9927Fd58708C2Ef3484CC305,"{""usd"":222988,""base"":95711,""quote"":88.17}",0.0008236,1.33
79,ethereum,uniswap,ADX,0xADE00C28244d5CE17D72E40330B1c318cD12B7c3,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xD3772A963790feDE65646cFdae08734A17cd0f47,"{""usd"":418871,""base"":1763541,""quote"":167.1}",0.0001166,0.1894
80,ethereum,uniswap,sETH2,0xFe2e637202056d30016725477c5da089Ab0A043A,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xDADcF64BAbfb566785f1e9DFC4889C5e593DDdC7,"{""usd"":90848,""base"":56.25,""quote"":16.92}",0.9953,1616.19
81,ethereum,uniswap,1INCH,0x111111111117dC0aa78b770fA6A738034120C302,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xa21Ed0Af81d7cdaEbD06d1150C166821cFCD64FF,"{""usd"":364499,""base"":212897,""quote"":282363}",0.576,0.576
82,ethereum,uniswap,PERP,0xbC396689893D065F41bc2C6EcbeE5e0085233447,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xcD83055557536EFf25FD0eAfbC56e74a1b4260B3,"{""usd"":945513,""base"":1386899,""quote"":334.5}",0.0004066,0.6621
83,ethereum,uniswap,QNT,0x4a220E6096B25EADb88358cb44068A3248254675,MATIC,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0xd4C1fdc6e4c7bafef4957b819Bca1aa2Ca4994d1,"{""usd"":357999,""base"":1426,""quote"":252125}",115.1893,138.13
84,ethereum,sushiswap,OCEAN,0x967da4048cD07aB37855c090aAF366e4ce1b9F48,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xeE35E548C7457FcDd51aE95eD09108be660Ea374,"{""usd"":147479,""base"":398289,""quote"":59.02}",0.0002663,0.4319
85,ethereum,uniswap,EARTH,0x6d1Fea476F177500d1972F08cf41FBA6F0f2d547,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xf4E6491ce6a14041C103f9CA849845e9fC302aC2,"{""usd"":75283,""base"":8823105,""quote"":30.06}",3.524e-06,0.00593
86,ethereum,uniswap,FWT,0x20e7125677311Fca903A8897042b9983f22Ea295,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xfeE8f24BDb6935d2fb9061cF26B98B271aaF9479,"{""usd"":412536,""base"":103629227,""quote"":206268}",0.004202,0.004202
87,bsc,bakeryswap,ALICE,0xAC51066d7bEC65Dc4589368da368b212745d63E8,BAKE,0xE02dF9e3e622DeBdD69fb838bB799E3F168902c5,0x0A84512f7cFcc69EAcE31B8A26cC96C2f3434b9E,"{""usd"":59241.15527444408,""base"":26804,""quote"":221743}",7.4451,1.78
88,bsc,pancakeswap,SUNT,0x37d3821797aF0ECf7f02CC1F87Ab9d99a36575a9,USDT,0x55d398326f99059fF775485246999027B3197955,0x0D1c910F2013E4B4E7C3c2890a30b3DeCf6e6327,"{""usd"":222773.7696848536,""base"":32194343,""quote"":111387}",0.001917,0.001917
