,chainId,dexId,baseToken,baseTokenAddress,quoteToken,quoteTokenAddress,pairAddress,liquidity,priceNative,ccxt
140,kcc,mojitoswap,LINK,0x47841910329aaa6b88D5e9DcdE9000195151dc72,WKCS,0x4446Fc4eb47f2f6586f9fAAb68B3498F86C07521,0x2c44f11c2D73961d09197729aea9449c8c786049,"{""usd"":166995,""base"":14887,""quote"":12593}",0.8488,6.948
141,fantom,knightswap,ETH,0x74b23882a30290451A17c44f4F05243b6b58C76d,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0xbE612c02BeE4b9FEb6B38693510c6C2a2028866d,"{""usd"":60069.7140066794,""base"":24.03,""quote"":138486}",3276.6628,1570.44
142,polygon,polycat,WMATIC,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0x8A4CEb4DffA238539C5d62Ce424980e8fdb21EBc,"{""usd"":56744.679216,""base"":36577,""quote"":28372}",1.0799,1.0862
143,dogechain,kibbleswap,ETH,0xB44a9B6905aF7c801311e8F4E76932ee959c663C,WWDOGE,0xB7ddC6414bf4F5515b52D8BdD69973Ae205ff101,0xb9a5f0cdF48054e101FD2d39b4F434c1ceD8B2Ec,"{""usd"":209940,""base"":83.88,""quote"":1472422}",16802.2669,1570.44
144,arbitrum,uniswap,CRV,0x11cDb42B0EB46D95f990BeDD4695A6e3fA034978,WETH,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0xBA80CEdE54Bf09f8160F7d6AD4a9d6ae3a9852d9,"{""usd"":375621,""base"":543598,""quote"":70.07}",0.0006264,1.01
145,bsc,jetswap,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,BUSD,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0xc53eE6446101F2128f887b8c75083E74dca3e973,"{""usd"":113280.18229321745,""base"":221.19,""quote"":56640}",310.1088,309.6
146,kcc,mojitoswap,ETH,0xf55aF137A98607F7ED2eFEfA4cd2DfE70E4253b1,WKCS,0x4446Fc4eb47f2f6586f9fAAb68B3498F86C07521,0x1F1EC5bcb2cB2a892D34A85d3eCb4C7e167Ff630,"{""usd"":2390074,""base"":956.1,""quote"":180130}",191.4488,1570.44
147,celo,ubeswap,WETH,0x66803FB87aBd4aaC3cbB3fAd7C3aa01f6F3FB207,CELO,0x471EcE3750Da237f93B8E339c536989b8978a438,0x5d60b9766530c4535BD753B1FDD7efEA400539BB,"{""usd"":154605.73102070374,""base"":61.92,""quote"":158649}",2221.5123,1570.44
148,conflux,swappi,ETH,0xa47f43DE2f9623aCb395CA4905746496D2014d57,WCFX,0x14b2D3bC65e74DAE1030EAFd8ac30c533c976A9b,0x8ea70966e8F14337657BFF7f40cFB9648f79530b,"{""usd"":405760,""base"":163,""quote"":9033970}",28740.8247,1570.44
149,bsc,babyswap,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,USDC,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,0xBF83cA11aBC62447226F6b3566918d3594bA3803,"{""usd"":475719.43306847184,""base"":928.98,""quote"":237860}",310.5082,309.6
150,avalanche,traderjoe,BNB,0x264c1383EA520f73dd837F915ef3a732e204a493,WAVAX,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xeb8eB6300c53C3AddBb7382Ff6c6FbC4165B0742,"{""usd"":131520,""base"":257.2,""quote"":5698}",15.8563,309.6
151,polygon,kyberswap,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WMATIC,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0xD10F0C5c9937DFB93C2942729a2aAA362aDB0ccF,"{""usd"":220617.3145675791,""base"":13.89,""quote"":142329}",1446.0455,1570.44
152,bsc,0x1e895bFe59E3A5103e8B7dA3897d1F2391476f3c,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,USDC,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,0x5f5d385397095AaED4daffe336F9815AC598DFf5,"{""usd"":407270.99735558964,""base"":804.46,""quote"":203635}",308.1527,309.6
153,polygon,mmfinance,WMATIC,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0xb965c131f1C48d89B1760860b782D2aCDF87273b,"{""usd"":167695.736284,""base"":108108,""quote"":83848}",1.0852,1.0862
154,arbitrum,oreoswap,WETH,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,USDC,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,0x9A8D82568cbe5CcABbFD7C6a44d00231aA547898,"{""usd"":131654.064588,""base"":52.9,""quote"":65827}",1586.5801,1570.44
155,polygon,apeswap,WMATIC,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,DAI,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,0xd32f3139A214034A0f9777c87eE0a064c1FF6AE2,"{""usd"":1175936.320473301,""base"":757977,""quote"":587968}",1.0868,1.0862
156,polygon,sushiswap,WBTC,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0xE62Ec2e799305E0D367b0Cc3ee2CdA135bF89816,"{""usd"":521706.42875996896,""base"":15.47,""quote"":208.52}",14.5613,22864.44
157,milkomedacardano,milkyswap,AVAX,0x65e66a61D0a8F1e686C2D6083ad611a10D84D97A,WADA,0xAE83571000aF4499798d1e3b0fA0070EB3A3E3F9,0x8D6a70271a09E646a55a6EDFa2c250d61e6ED4F8,"{""usd"":163365,""base"":7013,""quote"":302078}",52.8645,19.49
158,bsc,apeswap,BTCB,0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x1E1aFE9D9c5f290d8F6996dDB190bd111908A43D,"{""usd"":442954.3160610722,""base"":13.19,""quote"":864.59}",73.5542,22864.44
159,aurora,trisolaris,WBTC,0xF4eB217Ba2454613b15dBdea6e5f22276410e89e,NEAR,0xC42C30aC6Cc15faC9bD938618BcaA1a1FaE8501d,0xbc8A244e8fb683ec1Fd6f88F3cc6E565082174Eb,"{""usd"":209834,""base"":6.256,""quote"":69830}",9911.5085,22864.44
160,bsc,biswap,AVAX,0x1CE0c2827e2eF14D5C4f29a091d735A204794041,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x2f3899fFB9FdCf635132F7bb94c1a3A0F906cc6f,"{""usd"":330804.4000483537,""base"":14412,""quote"":647.05}",0.06299,19.49
161,bsc,0x71f843BD057d2eE39AE52186a33c3aFD1124805A,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,BUSD,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0x95cFe85b1732a9afb264EA1dF7f71bF7228cDE84,"{""usd"":439649.36230870517,""base"":858.43,""quote"":219825}",311.131,309.6
162,bsc,0xf89e6CA06121B6d4370f4B196Ae458e8b969A011,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,FRAX,0x90C97F71E18723b0Cf0dfa30ee176Ab653E89F40,0x14732123c443f8E815D5c64f3C7ecb63bCeEab74,"{""usd"":322951.7751362312,""base"":629.34,""quote"":161476}",311.1877,309.6
